#Release 13.2 - par O.61xd (nt64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Fri May 04 12:48:44 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       papilio_one_top_map.ncd
#OUTPUT FILE:      papilio_one_top_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P22,WING_B<15>,IOB,IO_L07P_3,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P23,WING_A<1>,IOB,IO_L07N_3,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P24,SPI_CS,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS33,2,8,SLOW,NONE**,,,LOCATED,YES,NONE,
P25,WING_B<14>,IOB,IO_L01N_2/INIT_B,BIDIR,LVCMOS33,2,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P26,WING_A<2>,IOB,IO_L02P_2/DOUT/BUSY,BIDIR,LVCMOS33,2,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P27,SPI_MOSI,IOB,IO_L02N_2/MOSI/CSI_B,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,,,GND,,,,,,,,,,,,
P30,,DIFFSI,IP/VREF_2,UNUSED,,2,,,,,,,,,
P31,,,VCCO_2,,,2,,,,,3.30,,,,
P32,WING_B<13>,IOB,IO_L03P_2/D7/GCLK12,BIDIR,LVCMOS33,2,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P33,WING_A<3>,IOB,IO_L03N_2/D6/GCLK13,BIDIR,LVCMOS33,2,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P34,WING_B<12>,IOB,IO/D5,BIDIR,LVCMOS33,2,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P35,WING_A<4>,IOB,IO_L04P_2/D4/GCLK14,BIDIR,LVCMOS33,2,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P36,WING_B<11>,IOB,IO_L04N_2/D3/GCLK15,BIDIR,LVCMOS33,2,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P37,,,GND,,,,,,,,,,,,
P38,,DIFFMI,IP_L05P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
P39,,DIFFSI,IP_L05N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P40,WING_A<5>,IOB,IO_L06P_2/D2/GCLK2,BIDIR,LVCMOS33,2,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P41,WING_B<10>,IOB,IO_L06N_2/D1/GCLK3,BIDIR,LVCMOS33,2,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P42,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
P43,,DIFFM,IO_L07P_2/M0,UNUSED,,2,,,,,,,,,
P44,SPI_MISO,IBUF,IO_L07N_2/DIN/D0,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P45,,,VCCO_2,,,2,,,,,3.30,,,,
P46,,,VCCAUX,,,,,,,,2.5,,,,
P47,,DIFFM,IO_L08P_2/VS2,UNUSED,,2,,,,,,,,,
P48,,DIFFS,IO_L08N_2/VS1,UNUSED,,2,,,,,,,,,
P49,,DIFFM,IO_L09P_2/VS0,UNUSED,,2,,,,,,,,,
P50,SPI_SCK,IOB,IO_L09N_2/CCLK,OUTPUT,LVCMOS33,2,8,FAST,NONE**,,,LOCATED,YES,NONE,
P51,,,DONE,,,,,,,,,,,,
P52,,,GND,,,,,,,,,,,,
P53,WING_A<6>,IOB,IO_L01P_1,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P54,WING_B<9>,IOB,IO_L01N_1,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P55,,,VCCO_1,,,1,,,,,3.30,,,,
P56,,,VCCINT,,,,,,,,1.2,,,,
P57,WING_A<7>,IOB,IO_L02P_1,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P58,WING_B<8>,IOB,IO_L02N_1,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P59,,,GND,,,,,,,,,,,,
P60,WING_A<8>,IOB,IO_L03P_1/RHCLK0,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P61,WING_B<7>,IOB,IO_L03N_1/RHCLK1,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P62,WING_A<9>,IOB,IO_L04P_1/RHCLK2,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P63,WING_B<6>,IOB,IO_L04N_1/RHCLK3/TRDY1,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P64,,,GND,,,,,,,,,,,,
P65,WING_A<10>,IOB,IO_L05P_1/RHCLK4/IRDY1,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P66,WING_B<5>,IOB,IO_L05N_1/RHCLK5,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P67,WING_A<11>,IOB,IO_L06P_1/RHCLK6,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P68,WING_B<4>,IOB,IO_L06N_1/RHCLK7,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P69,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
P70,WING_A<12>,IOB,IO_L07P_1,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P71,WING_B<3>,IOB,IO_L07N_1,BIDIR,LVCMOS33,1,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P72,,,GND,,,,,,,,,,,,
P73,,,VCCO_1,,,1,,,,,3.30,,,,
P74,,,VCCAUX,,,,,,,,2.5,,,,
P75,,,TMS,,,,,,,,,,,,
P76,,,TDO,,,,,,,,,,,,
P77,,,TCK,,,,,,,,,,,,
P78,WING_B<2>,IOB,IO_L01P_0,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P79,WING_A<13>,IOB,IO_L01N_0,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,,,GND,,,,,,,,,,,,
P82,,,VCCO_0,,,0,,,,,3.30,,,,
P83,WING_B<1>,IOB,IO_L02P_0/GCLK4,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P84,WING_A<14>,IOB,IO_L02N_0/GCLK5,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P85,WING_B<0>,IOB,IO_L03P_0/GCLK6,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P86,WING_A<15>,IOB,IO_L03N_0/GCLK7,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P87,,,GND,,,,,,,,,,,,
P88,RXD,IBUF,IP_L04P_0/GCLK8,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P89,CLK,IBUF,IP_L04N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
P90,TXD,IOB,IO_L05P_0/GCLK10,OUTPUT,LVTTL,0,8,FAST,NONE**,,,LOCATED,YES,NONE,
P91,WING_C<0>,IOB,IO_L05N_0/GCLK11,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P92,WING_C<1>,IOB,IO,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P93,,,GND,,,,,,,,,,,,
P94,WING_C<2>,IOB,IO_L06P_0,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P95,WING_C<3>,IOB,IO_L06N_0/VREF_0,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P96,,,VCCAUX,,,,,,,,2.5,,,,
P97,,,VCCO_0,,,0,,,,,3.30,,,,
P98,WING_C<4>,IOB,IO_L07P_0,BIDIR,LVCMOS33,0,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P99,,DIFFS,IO_L07N_0/HSWAP,UNUSED,,0,,,,,,,,,
P100,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
